,num,name
104,117,المديد العليق الرخامى 
182,20,السنط أﻣبليسبس 
188,21,السنط الفيض 
170,22,السلم 
201,23,العراد 
200,24,الطلح الأنباري عنبر فتنة 
174,25,السمر النجدي السنط الورقي السنط العراقي 
13,26,سنط الصفصاف 
15,27,سنط كارو 
184,28,السنط الخيمي 
187,29,السنط العريب قرض 
185,30,السنط الذهبي 
16,31,سنط كبا 
14,32,سنط سالجنا 
186,33,السنط السيال 
172,34,السمر 
173,35,السمر 
183,36,السنط الأنيق 
2,37,ذيل القط الأحمر 
58,38,نبات النحاس 
68,39,وردة الصحراء عدنة الأسفيد 
194,40,الصبار الأمريكي 
196,41,الصبار الكاريبي 
29,42,صبار ذيل الثعلب 
30,43,صبار سيسل 
91,44,اللبخ ذقن الباشا 
292,45,الخطمي 
258,46,البوق الذهبي 
74,47,القلقاس أذن الفيل 
28,48,صبار ألو 
195,49,الصبار الصبار السقال 
295,50,الخيط الذهبي 
156,51,السبانخ الصيني 
45,52,مرجان متسلق 
39,53,فم السمكة أنف الثور 
5,54,زهرة الشمس الصغرية 
134,55,بهجة الصباح 
52,56,نبات الفيل الزاحف 
213,57,الغاب 
197,58,الصقالب القرمزي 
162,59,الرسخس الهليوين 
260,60,البريق البصيل الربوق 
71,61,القطف 
301,62,الرغل 
117,63,النيم الرشيش 
72,64,القطني القطينة 
164,65,الرسو الصيفي 
21,66,شجرة الفراشة خف الجمل 
27,67,شوك الضب 
19,68,شجرة الحرير 
277,69,الجهنمية 
278,70,الجهنمية 
135,71,بودرة العفريت 
136,72,بودرة العفريت 
24,73,شجرية الثلج 
137,74,بونسيانا جليالس 
284,75,الحمر زهرة الطاووس 
236,76,األذريون ذهب مريم 
238,77,األرطى العبل 
37,78,فرشة الزجاج 
38,79,فرشة الزجاج 
203,80,العرش 
79,81,الكانا 
191,82,الشفلح 
242,83,الباباي 
127,84,الياسمني الهندي 
51,85,نبات الحي علم 
146,86,حي علم 
147,87,خيار شمرب 
204,88,العرشق 
294,89,الخيار البلدي 
78,90,الكازوارينا 
120,91,الونكة 
34,92,عرف الديك 
179,93,السنتوريا الفضية 
290,94,الخروب 
243,95,رسسيديم 
167,96,السسرتم األحمر 
47,97,ملكة الليل 
168,98,السسرتم التشييل 
112,99,النخيل املروحي 
32,100,صفصاف الصحراء 
23,101,شجرة خيط الحرير 
181,102,السندروس 
287,103,الحنظل الرشي 
101,104,اللومي 
108,105,النارنج برتقال إشبيلية الحامض 
102,106,الليمون 
231,107,األترنج 
130,108,اليوسفي املندرين 
125,109,الياسمني الزفر 
33,110,طربوش امللك 
133,111,بسلة الزهور 
88,112,الالفندر زهرة البوق 
80,113,الكروتون الذهبي 
299,114,الدمس 
300,115,الدمس 
209,116,العليق الفيض 
255,118,البنرب املخيط الدبق 
282,119,الحلفا 
152,120,الزنبق اآلسيوي 
165,121,الرسو الفيض 
166,122,الرسو املخروطي الرسو العمودي 
161,123,الرسخس السيكاس املرتد 
144,124,حشيشة الليمون 
109,125,النجم النجيل 
169,126,السعد املظيل 
163,127,الرسسوع 
259,128,البونسيانا 
189,129,الشث 
9,130,زهرة الندى 
141,131,توت الحامم 
57,132,نبات املفرقعات 
25,133,شدق الجمل 
26,134,شوك الجمل 
190,135,الشجرية الهشة 
250,136,البشملة إسكدنيا 
82,137,الكينا الكافور 
83,138,الكينا الكافور 
84,139,الكينا الكافور 
138,140,تاج الشوك أم اللنب 
53,141,نبات القلم أم اللنب 
280,142,الحراز 
22,143,شجرة القنصل التني النبيل 
266,144,التني البنغايل 
268,145,التني املتهدل 
265,146,التني 
214,147,الغار الصيني الباندا 
215,148,الغار الهندي نيتدا 
276,149,الجميز الحامط 
40,150,فيكس البوميال 
224,151,الفيكس لسان العصفور 
20,152,شجرة الصدأ 
232,153,األثاب 
270,154,الجاردينيا ياسمني كيب 
273,155,الجزانيا الفيض صنف لوكالينا 
272,156,الجزانيا الفيض صنف ريجنز 
274,157,الجزانيا الفيض صنف يونيفلورا 
252,158,البلوط الحريري 
219,159,الغىض 
303,160,الرمرام 
293,161,الخطمي الوردي الصيني الكركديه 
289,162,الخبازي الساحيل 
251,163,البطاطا الحلوة الجزر اليامين 
60,164,نبات ست الحسن 
62,165,نبات ظلف املاعز 
0,166,دم العاشق 
93,167,اللهب الصيني 
43,168,لهب الغابة 
275,169,الجكراندا 
54,170,نبات الكتلة الزرقاء 
124,171,الياسمني البلدي 
128,172,الياسمني الوردي 
221,173,الفل الياسمني العريب 
269,174,الجاتروفا 
171,175,السامر النمص األسل الوسل 
48,176,نبات األملاسة 
61,177,نبات شوك الشيطان 
230,178,اآلس املجعد 
4,179,زهرة الربيع صابون الراعي بخور مريم 
49,180,نبات الجليد األحمر 
50,181,نبات الجليد الذهبي 
90,182,الالنتانا فابيوال 
89,183,الالنتانا الزاحف 
199,184,الضعة 
85,185,الالتان األزرق النخيل املروحي 
31,186,صفارى حواء 
86,187,الالفندر الشائع 
87,188,الالفندر املسنن الالفندر الفرنيس 
286,189,الحناء 
100,190,اللوسينيا 
105,191,املرامية الفضية 
94,192,اللوبيليا 
240,193,األليسيوم 
126,194,الياسمني العراقي 
211,195,العوسج العوشز 
44,196,مخلب القط 
160,197,الرسح مرو 
288,198,الخباز الشمعي الطربوش 
103,199,املانجو 
153,200,الزنزلخت 
116,201,النعناع الحار 
149,202,الزان الهندي أبو جازية 
69,203,يرق أذان الحامر إذن الحامر 
246,204,البان اليرس 
262,205,التوت 
123,206,الياسمني الربتقايل الياسمني األفريقي 
106,207,املوز الحلو 
107,208,املوز القزم 
229,209,اآلس الحمبالس 
95,210,اللوتس 
296,211,الدفلة 
97,212,اللوتس األزرق 
96,213,اللوتس 
70,214,القريض العلندرا 
148,215,الريحان 
155,216,الزيتون 
267,217,التني الشويك الصبار 
239,218,األقحوان األفريقي زهرة اللؤلؤ األفريقية 
