,Growth,Color,Time
0,شجرة شجيرة,أبيض,من فبراير إلى ديسمبر
1,شجيرة شجرة,أصفر,من يناير إلى مارس
2,شجرة شجيرة,أصفر,من فبراير إلى أبريل
3,شجرة شجيرة,أبيض,من مارس إلى أبريل
4,شجرة,أصفر خفيف,من مارس إلى مايو
5,شجرة,أبيض أصفر باهت,من فبراير إلى أكتوبر
6,شجيرة,أصفر باهت,من مارس إلى ديسمبر
7,شجرة شجيرة,أصفر المع,من أبريل إلى مايو الرائحة
8,شجيرة شجرة,أصفر غامق,من فبراير إلى أبريل
9,شجرة,أصفر,من يناير إلى مارس
10,شجرة شجيرة,أصفر المع,من مارس إلى أبريل
11,شجرة,أصفر باهت,من فبراير إلى ديسمبر
12,شجرة,أصفر المع,من فبراير إلى أبريل
13,شجرة,أصفر,من مارس إلى مايو
14,شجرة,أبيض,من مارس إلى يوليو
15,شجرة,أبيض,من مارس إلى يوليو
16,شجيرة شجرة,أصفر باهت,من مارس إلى يونيو
17,شجيرة,أحمر المع,من مايو إلى أغسطس
18,شجيرة,وردي باهت,من مايو إلى أغسطس
19,شجيرة,الحجم,من أبريل إلى يوليو
20,الصباريات,أخضر خفيف,من يونيو إلى سبتمبر
21,الصباريات,أصفر,من مارس إلى مايو
22,الصباريات,الحجم,من يناير إلى أبريل نوع الثمرة
23,الصباريات,الحجم,من يونيو إلى سبتمبر
24,شجرة,الحجم,من مايو إلى سبتمبر
25,معمر,الثمرة,من يونيو إلى ديسمبر
26,متسلقات,أصفر المع,من أبريل إلى نوفمبر
27,معمر,أصفر باهت,من يناير إلى مايو نوع الثمرة
28,الصباريات,أحمر برتقالي داكن,من أبريل إلى مايو نوع الثمرة
29,الصباريات,أصفر برتقالي,من مارس إلى مايو
30,معمر,أبيض,من أغسطس إلى أغسطس
31,موسمي ثنائي,أبيض أخضر خفيف,من أبريل إلى مايو نوع الثمرة
32,متسلقات,وردي,من يوليو إلى أغسطس
33,ثنائي الحول,الثمرة,من مارس إلى أكتوبر
34,الصباريات,وردي أحمر,من يوليو إلى سبتمبر
35,شجيرة,ليلكي وردي باهت,من أغسطس إلى أكتوبر
36,متسلقات,الحجم,من يوليو إلى أغسطس
37,معمر,أصفر فاتح,من سبتمبر إلى ديسمبر
38,تحت شجيرة,أبيض,من مايو إلى سبتمبر
39,تحت شجيرة,أبيض ثانوي,من أغسطس إلى أكتوبر
40,ثنائي الحول,أبيض,من فبراير إلى فبراير
41,شجيرة تحت,أصفر باهت,من أغسطس إلى سبتمبر
42,تحت شجيرة,أخضر باهت,من أبريل إلى أبريل نوع الثمرة
43,شجرة,الحجم,من مارس إلى مايو
44,موسمي ثنائي,أبيض,من مارس إلى يونيو
45,موسمي,أخضر,من يوليو إلى سبتمبر
46,شجرة شجيرة,أرجواني,من أكتوبر إلى ديسمبر
47,معمر,أزرق,من يناير إلى أبريل نوع الثمرة
48,شجرة,الحجم,من يناير إلى فبراير
49,متسلقات,الثمرة,من أبريل إلى يونيو
50,متسلقات,الحجم,من أبريل إلى يونيو
51,شجرة,أحمر,من مارس إلى مايو
52,شجرة,الحجم,من أبريل إلى مايو نوع الثمرة
53,شجيرة,أبيض,من يوليو إلى سبتمبر
54,شجيرة,أصفر أرجواني,من يونيو إلى سبتمبر
55,شجيرة,الثمرة,من يونيو إلى سبتمبر
56,موسمي,الحجم,من أبريل إلى نوفمبر
57,شجيرة,أصفر أبيض,من فبراير إلى أبريل
